id,date,merchant,category,amount,notes
63,2025-01-19,Amtrak,Transport,116.25,client visit
64,2025-07-23,PlayStation Store,Entertainment,240.13,streaming subscription
65,2025-09-11,Sweetgreen,Food & Drink,15.12,latte and croissant
66,2025-04-06,Petco,Pets,107.17,pet food
67,2025-05-29,Geico,Insurance,236.37,policy renewal
68,2025-01-20,Domino's,Food & Drink,8.74,team lunch
69,2025-01-05,Sweetgreen,Food & Drink,25.53,latte and croissant
70,2025-06-02,Bartell Drugs,Health,731.07,first-aid supplies
71,2025-10-18,Shake Shack,Food & Drink,5.65,latte and croissant
72,2025-11-05,IKEA,Shopping,977.70,electronics
73,2025-02-24,Puget Sound Energy,Utilities,328.28,internet service
74,2025-06-21,Chipotle,Food & Drink,33.84,team lunch
75,2025-05-26,Lime,Transport,36.27,office to home
76,2025-08-21,Hyatt,Travel,140.87,baggage fee
77,2025-11-25,Spotify,Entertainment,297.15,streaming subscription
78,2025-10-06,Alaska Airlines,Travel,801.80,SFO->AUS flight
79,2025-09-26,Walmart,Groceries,153.28,weekly groceries
80,2025-09-10,Amazon,Shopping,504.86,clothing
81,2025-03-10,Rite Aid,Health,457.03,pharmacy
82,2025-09-16,GoFundMe,Gifts & Donations,122.59,holiday gift
83,2025-08-28,Local Charity,Gifts & Donations,142.84,charitable donation
84,2025-05-20,Best Buy,Shopping,900.32,electronics
85,2025-04-09,Yellow Cab,Transport,9.75,commute
86,2025-02-27,Apartment Management,Rent,3786.62,monthly rent
87,2025-06-19,Lyft,Transport,71.47,client visit
88,2025-03-25,Bartell Drugs,Health,272.07,co-pay
89,2025-08-23,REI,Shopping,726.92,office accessories
90,2025-11-28,Shake Shack,Food & Drink,17.77,coffee and snack
91,2025-05-12,Walmart,Groceries,287.36,household items
92,2025-04-06,State Farm,Insurance,38.00,policy renewal
93,2025-01-08,Apple Store,Shopping,495.70,office accessories
94,2025-06-22,Puget Sound Energy,Utilities,189.78,water & sewer
95,2025-06-01,Panera Bread,Food & Drink,48.89,takeout
96,2025-10-18,Panera Bread,Food & Drink,13.48,takeout
97,2025-12-12,Target,Shopping,742.26,office accessories
98,2025-04-09,Safeway,Groceries,21.45,snacks and beverages
99,2025-03-31,AMC Theatres,Entertainment,37.85,movie night
100,2025-11-09,Amtrak,Transport,70.38,downtown ride
