id,date,merchant,category,amount,notes
75,2022-10-16,edX,Education,777.22,certification exam
76,2022-12-06,Walmart,Groceries,94.81,weekly groceries
77,2022-01-14,Hilton,Travel,1013.10,car rental
78,2022-02-12,PetSmart,Pets,173.73,vet visit
79,2022-11-26,Verizon,Utilities,153.00,water & sewer
80,2022-08-08,AMC Theatres,Entertainment,261.92,streaming subscription
81,2022-03-11,Landlord,Rent,3568.04,monthly rent
82,2022-08-25,Sweetgreen,Food & Drink,43.79,breakfast bagel
83,2022-04-04,Whole Foods,Groceries,158.69,weekly groceries
84,2022-01-26,McDonald's,Food & Drink,52.83,breakfast bagel
85,2022-05-14,Sweetgreen,Food & Drink,5.84,team lunch
86,2022-07-14,Whole Foods,Groceries,40.95,snacks and beverages
87,2022-06-17,Costco,Groceries,201.95,snacks and beverages
88,2022-04-19,LinkedIn Learning,Education,392.41,certification exam
89,2022-08-21,Kaiser,Health,699.18,pharmacy
90,2022-06-17,Landlord,Rent,2893.48,monthly rent
91,2022-06-22,Local Vet,Pets,22.62,pet food
92,2022-07-14,REI,Shopping,873.85,clothing
93,2022-05-23,Yellow Cab,Transport,109.18,ride to airport
94,2022-08-04,Delta Air,Travel,387.37,conference travel
95,2022-05-10,Spotify,Entertainment,163.10,streaming subscription
96,2022-02-11,Uber,Transport,76.26,client visit
97,2022-08-29,Landlord,Rent,2493.00,monthly rent
98,2022-01-10,Bolt,Transport,36.45,office to home
99,2022-10-04,Kaiser,Health,721.96,co-pay
100,2022-01-27,McDonald's,Food & Drink,59.32,client dinner
